entity_id,early_rate,total_txs
HkeGtr3nqfrm76gXiXij8KsyE6b9HK2vGFNJFEvBYESB,0,16266
STPTshazcjH6cZMHzQBrggFSPHXYCTRGB7ctqS1AjkH,0,14
E99w1XfS4UNM1xUKXWEuDmj8Mduy7u65jm2NCULTspSV,0,16
puffinQSvKFriPbyE5atyx1ptfnyytovbzxybr1jsyy,0,15
5ZjxMYBbnKd4VFxLjAChSWMTeQ96147HnxZvQJxUseHV,0,16
FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,0,16
BNtHBLo1L2vAG7PBQ6mJvWz7GqVPxBnioXsY2Gjtubrg,0,353
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,0,30
Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,0,16
CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm,0,158
HVXXmNKkmDZbZwj74iL2Y9Wu4SyrchBoxAfFYVAktLrG,0,15
MutT1jxCXbRWJXpXoJK259gLrNfzDezdxS3BSkQAmv1,0,30
Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24,0,15
9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,0,16
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,0,15
FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,0,16
74Xkp2iLXm315h69sFRiCFjmKnaWkMV8W2LgJwPRSgN5,0,63
GK2YYwmQk58xA2k2SeugY3i334SJVViqTT8sT5wim3Dk,0,15
FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,0,45
mrgn28BhocwdAUEenen3Sw2MR9cPKDpLkDvzDdR7DBD,0,30
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,0,12
5ivRNcK1yThcK3koZR1oikAfuNm6rj1LceMskayoVSzc,0,60
GLAMiBuunBioazKwNbkGnWP6BM2sfVjehr4goPPGBFAC,0,15
91oPXTs2oq8VvJpQ5TnvXakFGnnJSpEB6HFWDtSctwMt,0,61
2t53LvZfskcpXkdwLaBnfZLbNgyVHPu2BNFpcRBaEBhM,0,15
ALPHA6rdHZkx1om79xp47vX1iZXcbM3qfEwLyttZ1T7R,0,15
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,0,15
H8fHToVcZPi5bupGZohGPX2SWs8NHzgFKQ31wi5n6oux,0,15
anzaeL7Lsv71HW2mew8YcKGyGqL6qNn3xoNPRrejM73,0,15
AmjX7CerZbHrU814UeBp2gJC7gANNG3KrP4c3RyD7TSD,0,15
DZVySotZvrvJyVAcgjFtUDm93zoCaq9wBruMAUz83CWW,0,31
2pCxbAfUEwuL2k9Fiz3xnronPqRnXsuz9XV76ddq2GEt,0,15
7MTjmteQHhthwwTZhUzsc2dP4NBvGNRqj8jzdqNxHFGE,0,30
ZoD1XLMhxdMveAJL4x9oab4FhRKP5NThTnSCH19Tdjp,0,15
23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er,0,15
65pHd5P2VrehonT1cdJ2JUnq5wi3WUgfL3A8RhYH7Kg7,0,15
99rG5AhkVagxJ7y8NpMAmy1h1u9GhT3h1Cimu2X3cwaJ,0,15
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,0,32
AccReGBNBdUCEJ7ZyP231jw7uVJ3eF9u4cLBFAyqQuWm,0,15
wifwUaAXgGXixi757cinR8RhAzNuuyKg8hh7mkCDPEc,0,15
8vk6QpG93JSaQCSgnycBsv5qmfQBk4qC9FjNA35E5JhU,0,15
R2D2imoV8nXk1ngT9v4dEK65We4uLNyUarTBdWbFruq,0,15
LFGGGJtnBLvq78DyMz1gTeedM6f8owck76qHThDABBC,0,15
huinBRP3muBuqZLMW8ARjdn4mBnEmFFcxiBzrkQz553,0,15
GWJyUxzcVwRRtpLuLiu1mpiUQsZ4onYFAYfCjQnuLmz5,0,15
nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,0,15
AYY1TCe347UZ7zueBmF4MyoFkeEZquRUNVBNoUZiRoew,0,15
SWiz7QwnYPm61pWWUUkMhj4r5pZLP1SvYibdHcB2cov,0,15
privaEdSEmnMPGPoQACUkcDGkFBbTArVvsEGd7C5wUM,0,15
5MAGJ3zShtXMMVXjZRoFqtFF7XhP8iLSyZrxdL7KpjcB,0,15
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,0,15
DRFh448Zz6AaHLJPZTgSw4fwv3eu776Db5RYEY4BqT7X,0,15
82vucuWCTTQEz6nYe3VetnL3pJYBrfDF2gDAjec9sPUy,0,15
CZanBzZHFzrGY5qKzaX3CNhJ5smHEMTWFFnoeUi4J6dr,0,15
EtoMApqP2h1vVm9XLTTp5HERNezm5btkqrdAGQ9fZRnp,0,15
gangtCrQg5RmKf5yxvhvZThPugPX58pDSdQ5UuS26vN,0,15
HzrEstnLfzsijhaD6z5frkSE2vWZEH5EUfn3bU9swo1f,0,15
HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p,0,16
5HYjArGt81naevDdwMaEx8yeGNw9jYBSDJa8YavT9Mp4,0,15
4k6wgP5WPBKQpsFGtzuXNrjcTE2fKWLj17nDvFeG5zSF,0,15
LTP1bMnfq1Z6UctyDXYHo9qcUJ6ReXm9cG2VwQcsHBt,0,15
kyzzzgRymGpePUsLyr48kQHt53kh5CSfRH1qfvz1xgj,0,30
aXiomFkk6VzXaBhPuhMqTLZZguCFzzbyP9LTtZ7ZHLQ,0,15
BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,0,14
4mzLWNgBX67zVwTykNnq96Z6KQLc8UyV5Q35EfVCDifC,0,45
BGAjnivVWqLqByqCVT9dSyPUFicvyJrz7vRvrvui3SEk,0,15
9iFPQbP1jGkj67sXg6YLLGRUBVEDMcapdS6jmCZSnz8R,0,15
PoN1E3VyqwqoGQEhC8ExpkRKTuyhxtGLnHHH3DwbgTU,0,61
bonkcbAQvHpYWxEG63E8ufTB1cxkkk9eAKaPdGePE88,0,15
2UBhtRuyr9nvWsUnrbWrvJiYWEU8TVBD4PLYQJKiRa9H,0,30
23U4mgK9DMCxsv2StC4y2qAptP25Xv5b2cybKCeJ1to3,0,15
THE1CosYJD9F1eBq53Fg4MZYZa5WrPUf2RQU5ZHnfEj,0,15
G3a3iYZKNLbivothF3twqcaTCEvoPb9uJ2bFc9DNKkBQ,0,15
DiveRaPKviyDnQyiiMFdV4rujsCBJzMNvPjKfvGNLGvL,0,15
5ysfTZ42VT1TjnjzQShZSrix7wdVtjXwssocSeYKDs5d,0,30
4JahMMrVRS1gimWoXpD5H6KwKc2MrsoTDFMaStMttL1E,0,15
Ey3DkEVbfBxfWmkTsG7Hqj7jshYf5Zx9H8462Zjjkykf,0,15
8cqck84coxk8TGXYBD95QosKCEA6fKwXLevcEv3oGmu8,0,45
BCS95L5JHBWHvWkcEJBEF3BH5QHxKcPeaTgoYmHLvfFh,0,15
5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,0,15
FyLVPAKkgdAy8Gn9jnFYN5yjC1ubQWRkw2EHt2UnC8uA,0,15
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,0,15
2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK,0,15
SSmBEooM7RkmyuXxuKgAhTvhQZ36Z3G2WsmLGJKoQLY,0,15
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,0,15
2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns,0,15
revtecFsGSRCdF29atQvchSXrjwBesA9vSisD4fyH5K,0,15
3WDh9HgusCujDmXCVhophLrHvoKHQd1Sd4uFHz1Awo35,0,15
8n4pc4sCJtBeLfJdGyJn6EcZuhtfTiepRa9ExdJFdmEN,0,15
7G4RfctwLLgqG4ZWfCirU8dfJd87mKQWgB4EHQRv8i7v,0,15
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,0,15
VQwCCSfW3o5NDx7n5FBr9SoYiLXVgetstHvaWBvv2YH,0,30
6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,0,15
CVgwMrWo9chKEuEPCe6Za9KJe8jamnAcoeWzaMeNubr6,0,15
bay3wXfJsu9ds1zQBoQQ4DUwFGs3NP6q4gca9WM5G1z,0,15
8Rf7hLczBzGb71rmEjw3h9tTcxGijDiDHL651H9SfSFa,0,15
9pBHfuE19q7PRbupJf8CZAMwv6RHjasdyMN9U9du7Nx2,0,15
nebu15XQKGpxzhhckADBX9PgvGN5qk9RRJCFLKc118w,0,15
2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B,0,15
grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,0,15
HFTcVVrX93SJwYHAiiHAssb3c4zXqSsF4mNjg5arGPEj,0,15
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,0,30
soLStaCk5TiGCpeLKa9Fvv6f5JQGMa6S3uhLh826e9N,0,15
ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY,0,15
6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,0,16
DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,0,15
A9mvukTd77EbRoBX4ydSCFQHdu5bsRFkNXTTRstA8FAC,0,31
