slot,total_tx,top_entity_share
394768978,1198,0.2287145242070117
394772320,1576,0.47588832487309646
394777126,2538,0.7052797478329393
394777127,2409,0.6948941469489415
394777128,1457,0.5264241592312972
394777129,1881,0.633705475810739
394777130,1544,0.6884715025906736
394777131,2124,0.5706214689265536
394777132,1423,0.5390021082220661
394777133,1814,0.6047409040793826
394777134,886,0.8205417607223476
394777135,1674,0.6230585424133811
394777136,1941,0.5507470376094796
394777137,1521,0.6410256410256411
394777138,1846,0.5612134344528711
394777139,1569,0.5289993626513703
