leader_validator,mev_entity_id,tx_count,slots_seen,avg_tx_position
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk","4","4","564.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk","4","3","835.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk","4","4","1032.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i","4","4","774.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3","8","4","639.3750000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG","4","3","502.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","1unarWPGGseFag2WfnoFv8o9P7vTPU8eHex9GinP3eY","8","4","1104.6250000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er","4","4","544.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","23U4mgK9DMCxsv2StC4y2qAptP25Xv5b2cybKCeJ1to3","4","4","716.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK","4","3","498.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2bpfa8JbFfZUGUsedDsemu6vQUxbhcEM8ALSH3PgXd2d","4","4","816.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2E2JPuFhjkQvEJEeNGqVSwGLJa5GoFqabQTutGjg1bzw","4","3","942.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX","16","4","650.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B","4","4","733.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2JkFW37X7qq9KDzFrF9b4ZNk1DcLBPJ6KQeneXJVitpw","1","1","1770.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2kVZVTY8FMRZ3WuHzyqNz8qd4Ytbba9f9DaesUm5WLvR","4","3","547.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5","8","4","388.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2nhGaJvR17TeytzJVajPfABHQcAwinKoCG8F69gRdQot","4","3","1268.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns","4","4","585.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2pCxbAfUEwuL2k9Fiz3xnronPqRnXsuz9XV76ddq2GEt","4","4","563.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc","36","4","991.9166666666666667"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2t53LvZfskcpXkdwLaBnfZLbNgyVHPu2BNFpcRBaEBhM","4","4","626.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2UBhtRuyr9nvWsUnrbWrvJiYWEU8TVBD4PLYQJKiRa9H","8","4","706.6250000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2Ue9zGmDnvYRrJNEjuAdNkbbickw6fKWtbeNM7T2rakg","4","3","627.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2uxEHizFmmnLekKG2LZJwxNabhpymEYfdVCpgDxjt87m","4","4","656.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc","4","4","1251.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2X7WoaXX9KPqNrNfvguhnwo3rjFPNsfw2t75fGjWRthz","4","4","770.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2XmhZKHmfjku3T3nC9xKhgr5bm1CAmWXqNsNt49mo82C","4","4","722.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2zykwzzo1pd3H2oSj5j5SRLTvmpa9Nr2S2Bh8tTVd5Tq","4","4","645.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","32jCuWyy4aJjyv4gd4DSGBHmFU5KUSSfqbmPb9GpMin6","8","4","1137.3750000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3BeharBd3j4sKQp7Qze27JLQLd9AEEwGTX9TC7dXYSNw","4","4","1031.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA","20","3","985.3500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3KiDz3wuZrJfsgKt5KEvRb1WPpbci1PWj78aPVF5ei3F","8","4","781.3750000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3KNGMiXwhy2CAWVNpLoUt25sNngFnX1mZpaiEeVccBA6","8","4","818.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3Pfubj3ytkRxFAGwFb5vtacuZJUxko5Du39xie9MBXuC","4","4","813.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3psxMyr7rQzywVp1MXKd1XFmFz33NjydzCoJx9t2sMQW","4","3","684.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3rqEEEGjHRyndHuduBcjkf17rX3hgmGACpYTQYeZ5Ltk","4","4","636.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3Rv6ZVGUuRczP76322LyhTTYw2iM4avV4B5xFJocQJer","4","4","1109.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS","4","4","675.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5","4","4","727.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd","4","4","471.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3WDh9HgusCujDmXCVhophLrHvoKHQd1Sd4uFHz1Awo35","4","4","467.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3x9nibnhgBHWKMRiGnsXJELRBjviQpKyigfrXtKW27KJ","4","4","605.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3YVoK8UN62dyiPZnGBzBTkGdwsVmmK1MpRoLcxNRs9BE","4","4","940.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3YX7PQuESmR2h95FDgjahEQjyCBhmY1Ts2MsrM1Kg9DS","8","4","715.6250000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2","16","4","696.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","49j9bnkdgVNxLwsZ9h88sPR5MYEmsUyKrrJ6ZW8ijBrb","4","4","781.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4aRPyjsqqFsf5488a9QAaHJLQJMGwoL5P6wRtLmroe2d","4","4","706.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4GEEKSwuiBHWTff9WaqrDcToZjbX6KYdyB4c578Zxse2","4","4","1126.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4JahMMrVRS1gimWoXpD5H6KwKc2MrsoTDFMaStMttL1E","4","4","674.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4k6wgP5WPBKQpsFGtzuXNrjcTE2fKWLj17nDvFeG5zSF","4","4","572.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4kL5QD8ir5CvkuvCUnQhBDuWhq3Xfnz3UfQLt4CqPQZQ","4","3","1056.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4mtXJ5pUcMMB4t8cLbi7zfDJCHfYLRrQb4qSLmh57sKL","4","4","558.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4mzLWNgBX67zVwTykNnq96Z6KQLc8UyV5Q35EfVCDifC","12","4","514.3333333333333333"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4qL9M4GqavrNF38Pxz3xT6wVidRWAkTd5sx81Dm3LkaM","1","1","1050.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4QNekaDqrLmUENqkVhGCJrgHziPxkX9kridbKwunx9su","12","4","838.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4SgoyAwN26iu9Gpf12Bk1rnzp4G4yDUM3XVv4w7VQcAf","4","4","683.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4vdWYn2KbmQ3Dns5wVBfz4CFQDds4b7CpsC8MHBhHAib","4","4","709.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy","4","4","707.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4YGgmwyqztpJeAi3pzHQ4Gf9cWrMHCjZaWeWoCK6zz6X","4","4","1017.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn","4","4","612.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5AsoSeQtLoN8eLsf3wKrR3LwxHME4sTBGR6dpTCP1k3H","4","4","1032.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5d9Mdc2Zk8as8GL1AxQeXxv5htBBvC5bjfmsXC7UUWwG","4","3","1393.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z","8","4","592.8750000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5fSQdv4zsAJNx6RKpGho6sL6rY6a8nziaqcmwaRJB9NE","2","2","397.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5ghoFEVrsXeAPB6SUmBpZ2xq3KvHEjNMeSaBnxEBXkHV","4","4","767.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5HYjArGt81naevDdwMaEx8yeGNw9jYBSDJa8YavT9Mp4","4","4","544.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5ikB9XZNVsjwKb6hHT3FS3So1Z1SrDvU5yaniWEQyDEG","4","4","616.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5ivRNcK1yThcK3koZR1oikAfuNm6rj1LceMskayoVSzc","16","4","582.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5LNEDitSMhApT2uFnmtN7FmjCiGuatpnb2uU4f3shrk","8","4","754.8750000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5MAGJ3zShtXMMVXjZRoFqtFF7XhP8iLSyZrxdL7KpjcB","4","4","481.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou","4","4","655.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5P35CJVKU15Rrh5M6EVkre23EyA3K34kAut2GXhHKM7W","4","3","659.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5pZvwjSpGYCxpJeySwSbSAji7kZe4YntL7rQvXM3YcNT","4","4","745.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5tfcGyf3NQFcufDigvbRt9kWoVN2KPEkBRUY3UaC3Zwm","4","4","556.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j","4","4","398.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5VrW7YNBccVnhnZVmooCePdLFcs2UjfxRT3hoY9mN8Ec","4","4","734.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5ysfTZ42VT1TjnjzQShZSrix7wdVtjXwssocSeYKDs5d","8","4","579.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5ZjxMYBbnKd4VFxLjAChSWMTeQ96147HnxZvQJxUseHV","4","4","360.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5zm9g3zgAPWzX3wmUB2JtTkcwCqe74NWsTmt5wLFwCKK","4","4","605.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","61QB1Evn9E3noQtpJm4auFYyHSXS5FPgqKtPgwJJfEQk","4","4","621.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","65pHd5P2VrehonT1cdJ2JUnq5wi3WUgfL3A8RhYH7Kg7","4","4","710.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6gL3uHvuUjaPp9mTBf2VZ4tpKiYhbWyPrAPboGByzEHd","4","4","847.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6gnbmed7kzwQVQ7ghsjgEuCoYmGeWciV2qCwni6WS6HU","4","4","642.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6JKwz43wDTgk5n8eNCJrtsnNtkDdKd1XUZAvB9WkiEQ4","8","4","1183.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV","4","4","416.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6NDen7aDi65apHo8m1Vea4nuS6LyjQeM6pDNqcW4Q5Pg","20","4","1124.7000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6pEtDovpyd1zUMYPuNhMCPU37sUTEAtzzgoVVAh1G1JL","4","4","651.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6qwYjs5vCSEKaTMBbHinnW8fvdGj1r8cpzPoAV1EHKsw","12","4","609.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6Rk694kh1QTyQkirdb1uDZmS5xqG9bNaYtxx8d311Mr7","4","4","1039.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea","4","4","481.2500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6tpuCGuvAZyUwQPFLKmiUfGUKSBjk3yVHJ314cfJV4ZF","4","4","855.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6xUK9Nbonr4eoJNtHGoUEMmYKoPz5mipKzyDBv6deX4d","4","3","423.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK","12","4","752.4166666666666667"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6YDWxPaJWpZxJ6JLGaBeTJaGQn3gi3Pwtivii9cDyDHo","4","4","884.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE","12","4","645.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","6yVX5rkTR3NfgCuu37vkmLCeG2RLqKaJHLj4G6b4Dvzu","4","4","803.5000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","73hojLdq1vZDSxeVQEqVFJ4iwLngdvEJPEpEHkSdv6BZ","1","1","1045.0000000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","74Xkp2iLXm315h69sFRiCFjmKnaWkMV8W2LgJwPRSgN5","16","4","486.6875000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","78sEMVmeecStjxWU7XMJMH8bMRBW9vSiEAhAjtZbt3fW","4","3","719.7500000000000000"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","7CR6whiYULVf1Knj4J5PxUS37opdk8UAx2WnDzBQKiVe","4","3","468.5000000000000000"
