leader_validator,mev_entity_id,slots_seen,entity_rank
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","ZoD1XLMhxdMveAJL4x9oab4FhRKP5NThTnSCH19Tdjp","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4aRPyjsqqFsf5488a9QAaHJLQJMGwoL5P6wRtLmroe2d","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4JahMMrVRS1gimWoXpD5H6KwKc2MrsoTDFMaStMttL1E","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4k6wgP5WPBKQpsFGtzuXNrjcTE2fKWLj17nDvFeG5zSF","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4mtXJ5pUcMMB4t8cLbi7zfDJCHfYLRrQb4qSLmh57sKL","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4mzLWNgBX67zVwTykNnq96Z6KQLc8UyV5Q35EfVCDifC","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4QNekaDqrLmUENqkVhGCJrgHziPxkX9kridbKwunx9su","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4SgoyAwN26iu9Gpf12Bk1rnzp4G4yDUM3XVv4w7VQcAf","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4vdWYn2KbmQ3Dns5wVBfz4CFQDds4b7CpsC8MHBhHAib","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","4YGgmwyqztpJeAi3pzHQ4Gf9cWrMHCjZaWeWoCK6zz6X","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5AsoSeQtLoN8eLsf3wKrR3LwxHME4sTBGR6dpTCP1k3H","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","1unarWPGGseFag2WfnoFv8o9P7vTPU8eHex9GinP3eY","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","23U4mgK9DMCxsv2StC4y2qAptP25Xv5b2cybKCeJ1to3","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2bpfa8JbFfZUGUsedDsemu6vQUxbhcEM8ALSH3PgXd2d","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2pCxbAfUEwuL2k9Fiz3xnronPqRnXsuz9XV76ddq2GEt","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2t53LvZfskcpXkdwLaBnfZLbNgyVHPu2BNFpcRBaEBhM","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2UBhtRuyr9nvWsUnrbWrvJiYWEU8TVBD4PLYQJKiRa9H","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2uxEHizFmmnLekKG2LZJwxNabhpymEYfdVCpgDxjt87m","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2X7WoaXX9KPqNrNfvguhnwo3rjFPNsfw2t75fGjWRthz","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2XmhZKHmfjku3T3nC9xKhgr5bm1CAmWXqNsNt49mo82C","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","2zykwzzo1pd3H2oSj5j5SRLTvmpa9Nr2S2Bh8tTVd5Tq","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","32jCuWyy4aJjyv4gd4DSGBHmFU5KUSSfqbmPb9GpMin6","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3BeharBd3j4sKQp7Qze27JLQLd9AEEwGTX9TC7dXYSNw","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3KiDz3wuZrJfsgKt5KEvRb1WPpbci1PWj78aPVF5ei3F","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3KNGMiXwhy2CAWVNpLoUt25sNngFnX1mZpaiEeVccBA6","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3Pfubj3ytkRxFAGwFb5vtacuZJUxko5Du39xie9MBXuC","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3rqEEEGjHRyndHuduBcjkf17rX3hgmGACpYTQYeZ5Ltk","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3Rv6ZVGUuRczP76322LyhTTYw2iM4avV4B5xFJocQJer","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3WDh9HgusCujDmXCVhophLrHvoKHQd1Sd4uFHz1Awo35","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3x9nibnhgBHWKMRiGnsXJELRBjviQpKyigfrXtKW27KJ","4","1"
"6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8","3YVoK8UN62dyiPZnGBzBTkGdwsVmmK1MpRoLcxNRs9BE","4","1"
