wallet,shape
4KSLE7EU1P7PQ8Rc4hdb2ZKq2JmWHD8UXJp7guEdyT9j,"9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp->11111111111111111111111111111111"
FVnv5qH7dsrBzEDwJ8dN2m9PFtKTBAQFtqWF3M9LpwMg,"TessVdML9pBGgG9yGks7o4HewRaXVAMuoVj4x83GLQH"
5M63GXr6W8P5vHLzdJhvsoZuQ5dqJ7mr93HT7tiXiJcu,"fastC7gqs2WUXgcyNna2BZAe9mte4zcTGprv3mv18N3"
Lake8NXDThihebhxS3Js7mFnj9fthmus93zEdsFNrsL,"Vote111111111111111111111111111111111111111"
SaGAgdkowooXBrHihpmE8gsjf1dUG7n5SqnyJxYFnXJ,"Vote111111111111111111111111111111111111111"
shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,"Vote111111111111111111111111111111111111111"
FpozCRQDdwcRmJk8QVBYzqZ974DM31aL9ruXoBTAvzqA,"11111111111111111111111111111111->11111111111111111111111111111111"
GoSBxCH19sMnZVEifsXeeMdEfkTv6Zh6MWvQFQF3e5m7,"9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp"
SANDCxXBbQhvbUqNtiLqKdFEY1uQhVo1UgUACaS4mXU,"Vote111111111111111111111111111111111111111"
SscQkTYV2BFQYGGffAmTzvefrFrw6z9GNYiWHstVZ77,"Vote111111111111111111111111111111111111111"
As9wG2E5KRahSUD1fguZbGX44gASgGqfvZPYvCxEgres,"11111111111111111111111111111111"
AnnesTV5NR5HNrrsDBn9XVoZxedWQfjmjm6X3PywS7oR,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
uZ1N4C9dc71Euu4GLYt5UURpFtg1WWSwo3F4Rn46Fr3,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
GoSBxCH19sMnZVEifsXeeMdEfkTv6Zh6MWvQFQF3e5m7,"9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp"
4dxRtLucVXZ4o9drN5jtCs5X9TJdv79KwPDp4fsVqtqh,"9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp"
7uhiFHKK7XXtKkE2wU2Hr9GQ4kZZxEnUU85SMnhRcnw2,"11111111111111111111111111111111->SUPuZPqTr1Zjz11UeVgLotcLupNdFUzKvUg3Sa9LiGL->dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
8uPW9msN75rfaKiwy8y8NxEX5zSk2WejtVv5YhZr3jCo,"Vote111111111111111111111111111111111111111"
updapqBoqhn48uaVxD7oKyFVEwEcHmqbgQa1GvHaUuX,"11111111111111111111111111111111->goonERTdGsjnkZqWuVjs73BZ3Pb9qoCUdBUL17BnS5j"
AiDoLWFKzNxSXKeZ4zym2TEPkg6F4kQ3YBA8WhANVPEq,"Vote111111111111111111111111111111111111111"
GnkTz4LD9r95CT5GNtuZH2w3AJYudT5MCYrQG2Re5dZ5,"rvgxRnWNAWoLJkAc6S7y1zSNW9eAeFvpjV65YMHYxow->11111111111111111111111111111111"
DZKTNGR3r4Akj3G42ReZatKhkmgEXoZjk5Ed2tFwRyqm,"Vote111111111111111111111111111111111111111"
H8Mw9QzhUNFbmRMzj77BzLq8CXCUVnFWbDPVYc8A2b8d,"9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp"
5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,"Vote111111111111111111111111111111111111111"
