entity_id,wallet_count,unique_accounts,execution_shape_count,shape_entropy,slot_count,atomic_arb_count,pga_slot_count,avg_top_entity_share,toxic_pool_interactions,early_rate,total_txs,validator_mev_slot_ratio,validator_early_ratio,validator_unique_entities,avg_slots_seen,best_entity_rank,validator_total_txs,validator_mev_txs,validator_mev_tx_ratio,pca_1,pca_2,pca_3,risk_score,anomaly_score,risk_rank
HkeGtr3nqfrm76gXiXij8KsyE6b9HK2vGFNJFEvBYESB,2700,18197,937,6.44912693943164,16,4839.0,16.0,0.587083008849862,238819,0,16266,0.9333333333333332,0.0031034530831958,496.4,3.2,1,6156.75,6099.75,0.9902,59.34064746500065,0.6966508997311434,-0.8936758322672781,1,0.22350179571476103,1.0
6JbQNigcDnUmoLBpeQVBWw1PoWuwCuSCzp4TBjbBC1jP,1,23,2,1.0,3,2.0,0.0,0.6683049329537546,44,0,4,0.9333333333333332,0.0031034530831958,496.4,1.5,1,6156.75,6099.75,0.9902,1.0788205988331596,-5.621728336000184,1.4418289201945333,1,0.13815454900691215,2.0
BNtHBLo1L2vAG7PBQ6mJvWz7GqVPxBnioXsY2Gjtubrg,23,46,1,-0.0,16,0.0,16.0,0.587083008849862,654,0,353,0.9333333333333332,0.0031034530831958,496.4,3.2,1,6156.75,6099.75,0.9902,0.48456184545839803,1.21567014012441,3.784250527166575,1,0.1332538443788912,3.0
7iCDKGmjkM95P89kzRcYiawsefMnv93ntX8Euhz3unra,1,1,2,1.0,1,2.0,0.0,0.6948941469489415,24,0,2,0.9333333333333332,0.0031034530831958,496.4,1.0,485,6156.75,6099.75,0.9902,1.0926599125583178,-9.73774873049454,2.1487651918413415,1,0.12371512154130859,4.0
4qL9M4GqavrNF38Pxz3xT6wVidRWAkTd5sx81Dm3LkaM,1,9,2,0.9182958340544896,3,2.0,0.0,0.6086864034198737,16,0,3,0.9333333333333332,0.0031034530831958,496.4,1.0,485,6156.75,6099.75,0.9902,0.9122207913256991,-8.019197337490558,0.06523733102077774,1,0.08725987238954103,5.0
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,1,10,2,0.9709505944546686,4,0.0,0.0,0.6199157000690079,14,0,5,0.9333333333333332,0.0031034530831958,496.4,1.3333333333333333,472,6156.75,6099.75,0.9902,0.9960823547899769,-7.4798935582981425,0.4458478809336831,1,0.08199106082928165,6.0
AjAubETeBLhebBxLcErmzbavZfqF9bCxkpRAdyJtoi9G,1,2,2,0.4689955935892812,5,0.0,2.0,0.588716055171492,19,0,10,0.9333333333333332,0.0031034530831958,496.4,1.6666666666666667,478,6156.75,6099.75,0.9902,0.417821931957574,-6.198998562611994,0.25260406948756997,1,0.07740235644506976,7.0
CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm,10,20,1,-0.0,16,0.0,16.0,0.587083008849862,296,0,158,0.9333333333333332,0.0031034530831958,496.4,3.2,1,6156.75,6099.75,0.9902,0.315120966273611,1.2098382268720165,3.795319402895094,1,0.0758523519006239,8.0
CarrotLYPhQzYL4fEsTUvEzw5QDaMGSZUENHSkh7qzQa,1,4,2,0.9182958340544896,3,1.0,0.0,0.6095448045598981,17,0,3,0.9333333333333332,0.0031034530831958,496.4,1.0,485,6156.75,6099.75,0.9902,0.9090518034296108,-8.032046858408634,0.08683559298145617,1,0.07394225725614822,9.0
2JkFW37X7qq9KDzFrF9b4ZNk1DcLBPJ6KQeneXJVitpw,1,2,2,1.0,3,0.0,0.0,0.6234188399849593,12,0,4,0.9333333333333332,0.0031034530831958,496.4,1.0,485,6156.75,6099.75,0.9902,1.0186952050108034,-8.26316945157605,0.4275395214611066,1,0.07277217263815516,10.0
7zujqoQsFic14ncDYhBSVGvDnqc94rE49c1ZJCHvAtiW,1,25,1,-0.0,2,0.0,2.0,0.5853912359110189,100,0,7,0.9333333333333332,0.0031034530831958,496.4,1.0,480,6156.75,6099.75,0.9902,-0.16598919023082886,-7.525864698378795,-0.059329289315344945,1,0.07249984059256409,11.0
HWMLtrNbiTQH5iE9BQbG8QksRyPHP7zmgRR8gyY55UQy,1,13,1,-0.0,1,1.0,1.0,0.4758883248730964,18,0,3,0.9333333333333332,0.0031034530831958,496.4,1.0,480,6156.75,6099.75,0.9902,-0.3162146130404421,-6.129495551464078,-3.009279898155179,1,0.07115828830645576,12.0
2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc,9,18,1,-0.0,15,0.0,14.0,0.5715190920583629,268,0,143,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,0.2365190284521211,0.9219739660986725,2.886378880727719,1,0.06531393917108852,13.0
5XWtV48xW63kV6YNZ4NpSKDYDor82TmYQSMBxJvqP7sb,1,11,1,-0.0,1,1.0,0.0,0.6948941469489415,29,0,1,0.9333333333333332,0.0031034530831958,496.4,1.0,485,6156.75,6099.75,0.9902,-0.10159661196991987,-9.43104132608241,2.175468955065502,1,0.060129109117762036,14.0
GDH3M3nYHXsrkoZJrv74GBnSQXJvPwQVeNh4y8kDstak,1,10,1,-0.0,1,1.0,0.0,0.8205417607223476,16,0,1,0.9333333333333332,0.0031034530831958,496.4,1.0,488,6156.75,6099.75,0.9902,0.033163323065445005,-11.312989865311573,5.2793819689661134,1,0.05985669791074666,15.0
3NK19Y8KQyr3HmJVEmn1gjaXDDDpsVVQtBWmHkwZXkAm,1,13,1,-0.0,1,1.0,0.0,0.5390021082220661,25,0,1,0.9333333333333332,0.0031034530831958,496.4,1.0,488,6156.75,6099.75,0.9902,-0.26893322159206734,-7.132777807207859,-1.6724096957765073,1,0.04029933439637645,16.0
Ba1o5NWMdCDVVwoRNHLmuxHd2ypcZRWi18em5eavEgoE,1,7,1,-0.0,1,1.0,0.0,0.5289993626513703,15,0,1,0.9333333333333332,0.0031034530831958,496.4,1.0,491,6156.75,6099.75,0.9902,-0.28281620456301454,-7.000710480376791,-1.9176863493526135,1,0.037133567889788055,17.0
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,8,16,1,-0.0,16,0.0,14.0,0.587083008849862,228,0,123,0.9333333333333332,0.0031034530831958,496.4,3.2,1,6156.75,6099.75,0.9902,0.24535790090787424,1.163789167563222,3.346671908605439,1,0.03596581516550923,18.0
